Project Description,Location,Contractor,Cost,Completion Date
"Construction of Sta Cruz Seawall, Barangay Morales Section, Sta Cruz, Marinduque",MARINDUQUE,HGG BUILDERS & SUPPLY,"241,247,074.85",05/14/2024
"Construction of Flood Control Structure at Galas Maasim Creek along Bypass road Phase II, Maasim, San Rafael, Bulacan",BULACAN,EIRISH BUILDERS & SUPPLY INC.,"96,499,463.56",05/14/2024
"Construction of Slope Protection Works along Agno River, Barangay Guelew, San Carlos City, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,"47,784,593.10",05/14/2024
"Construction of Sanggalang Flood Control, Biliran, Biliran",BILIRAN,RMA BUILDERS & SUPPLIES CORPORATION,"9,610,485.95",05/13/2024
"Construction of Flood Mitigation Structure, Brgy. Luz, Cebu City",CEBU,PLANAC CONSTRUCTION,"4,940,000.00",05/13/2024
"Construction of Revetment Wall at Sitio Upper Talayong - Sitio Cansibog (Right Side), Ronda, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"57,895,771.96",05/13/2024
"Construction of Revetment Wall at Barangay Libo-o - Barangay Tupas Phase 1, Ronda, Cebu",CEBU,JCM AMEG BUILDERS CORPORATION (FORMERLY: AMEG CONSTRUCTION & SUPPLY),"57,896,625.61",05/13/2024
"Construction of Flood Control Structure (Phase 2) at Brgy. Mabilo, Labo, Camarines Norte",CAMARINES NORTE,C.B. GARAY PHILWIDE BUILDERS,"48,999,703.48",05/13/2024
"Rehabilitation of Existing Dike along Parua River (Barangay Santa Rita Section, Right Bank), Package A, Sta. 12+210.40 - Sta. 12+406.75, Concepcion, Tarlac",TARLAC,HIGH STRENGTH DEV. CORPORATION,"46,728,726.02",05/13/2024
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Sapang Buho, Palayan City, Nueva Ecija",NUEVA ECIJA,JERRY R. SANTIAGO CONSTRUCTION CORP. (FORMERLY: JERRY SANTIAGO CONSTRUCTION),"85,114,741.23",05/13/2024
"Construction of Villa Marzo Flood Control Structure, Section 2, Cordon, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),"48,999,666.52",05/13/2024
"Rehabilitation of Drainage System, Tirad Pass, Barangay 136, Caloocan City",CALOOCAN CITY,AVE-MIRA CONSTRUCTION AND TRADING,"4,869,448.78",05/13/2024
"Construction of Monamon Norte Flood Control along Chico River, Panas Section, Bauko, Mountain Province",MOUNTAIN PROVINCE,OLSIM CONSTRUCTION / GELLE CONSTRUCTION SERVICES,"39,200,000.00",05/13/2024
"Repair/ Rehabilitation/ Reconstruction of Damaged Matutinao River Flood Control System (Upstream-Section 2), Badian, Cebu, Sta. 0+000.00 to sta. 0+207.00",CEBU,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"81,431,510.00",5/12/2024
"Construction of Flood Control Structure, Brgy. Bakiad - Brgy. Gumamela, Phase II, Labo, Camarines Norte",CAMARINES NORTE,EUS CONSTRUCTION,"57,332,639.72",5/12/2024
"Construction of Waterway Structure along Riverbanks, Barangay Catayauan (Upstream) Lallo, Cagayan",CAGAYAN,JLL PULSAR CONSTRUCTION CORPORATION (FORMERLY: PULSAR CONSTRUCTION),"47,764,380.24",5/12/2024
"Construction of Waterway Structure along Riverbanks, Barangay Catayauan (Downstream) Lallo, Cagayan",CAGAYAN,JIRK CONSTRUCTION / JLL PULSAR CONSTRUCTION CORPORATION (FORMERLY: PULSAR CONSTRUCTION),"47,764,065.48",5/12/2024
"Construction of Flood Mitigation Structure along Matanda River, Barangay Salvacion, San Agustin, Surigao del Sur",SURIGAO DEL SUR,HAPPY ALL3 BUILDERS CORPORATION / TRIPARCO DEVELOPMENT CORPORATION,"106,149,909.72",5/11/2024
"Construction of Mainit River Flood Control Structure, Naga City, Cebu",CEBU,QM BUILDERS / JANUARY BUILDERS,"96,450,000.00",5/10/2024
"Construction/Rehabilitation/Improvement of Drainage System, La Salle St., Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,"19,600,000.00",5/10/2024
"Construction of Oton Shoreline Protection including Access Road, Oton, Iloilo",ILOILO,ASIA STRUCTURAL DEVELOPER CORPORATION,"29,399,309.86",5/10/2024
"Construction of Seawall, Barangay Bonbon, Sta. 0+000 - Sta. 0+320, Looc, Occidental Mindoro",PALAWAN,FAAA CONSTRUCTION AND TRADING / D.K. JOCSON CONSTRUCTION,"48,999,373.17",5/10/2024
"Construction of Slope Protection with Steel Sheet Pile Foundation along Ungot Creek including Road Component Segment C, Tarlac City",TARLAC,NORTHERN BUILDERS,"50,000,000.00",5/10/2024
"Construction of Slope Protection with Steel Sheet Pile Foundation along Ungot Creek Including Road Component Segment D, Tarlac City",TARLAC,NORTHERN BUILDERS,"50,000,000.00",5/10/2024
"Construction of River Wall, Brgy. Calacja I, Municipality of Hamtic, Antique",ANTIQUE,HMM BUILDERS AND CONSTRUCTION SUPPLY,"4,928,055.67",5/9/2024
"Construction of Flood Mitigation Structures along San Juan River - Phase 4, Tanauan - Sto Tomas, Batangas",BATANGAS,LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,"96,499,879.00",5/9/2024
"Construction of Revetment along Telaje River, Brgy. Dagocdoc, Sta. 0+000.00 - Sta. 0+058.7, Sta. 0+071.6 - Sta. 0+460.20, Sta. 0+460.20 - Sta. 0+496.00, Tandag City, Surigao Del Sur",SURIGAO DEL SUR,"J.M. LUCIANO CONSTRUCTION, INC.","101,324,948.61",5/8/2024
"Construction of Flood Mitigation Structure along Butuanon River (Upstream - Phase 2), Barangay Maguikay, Mandaue City, Cebu",CEBU,"ZLREJ TRADING AND CONSTRUCTION CORPORATION / GICAR CONSTRUCTION, INC.","115,600,000.00",5/8/2024
"Construction of Flood Control Structure (Phase 1) at Brgy. Mabilo, Labo, Camarines Norte",CAMARINES NORTE,C.B. GARAY PHILWIDE BUILDERS,"48,250,000.00",5/8/2024
"Construction of Agos River Control Structure, barangay Lourdes, Polangui, Albay",ALBAY,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,"72,305,000.00",5/8/2024
"Construction of Agos River Control Structure, barangay La Purisima, Polangui, Albay",ALBAY,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,"72,305,000.00",5/8/2024
"Construction of River Control Structure along Panggalaan River, Brgy. Tigkan, Naujan, Oriental Mindoro",ORIENTAL MINDORO,SILVERWOLVES CONSTRUCTION CORPORATION,"96,500,000.00",5/8/2024
"Construction of Bucayao River Control along Barangay Camansihan, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,MINDALIFI CONSTRUCTION AND SUPPLY,"48,999,817.77",5/8/2024
"Construction of Flood Control Structure along Tarlac River Control (Right Dike), Villa Paz-Dicolor Section, Gerona, Tarlac",TARLAC,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS / T2B3 BUILDERS AND SUPPLIES CORP.,"100,000,000.00",5/8/2024
"Construction of Magat RIS, Magat River Slope Protection Works, Ramon, Isabela",ISABELA,MAV CONSTRUCTION SUPPLY AND POWER DEVELOPMENT,"3,424,520.75",5/8/2024
"Construction of Cagayan River Flood Control Project, Bgy. District 1 (Package 1), Reina Mercedes, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),"98,997,072.72",5/8/2024
"Construction of Cagayan River Flood Control Project, Bgy. District 1 (Package 2), Reina Mercedes, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),"98,999,519.74",5/8/2024
"Construction of Flood Control Structure along Agno River, Pacuan, Malasiqui, Pangasinan",PANGASINAN,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),"48,999,982.32",5/8/2024
"Construction of Drainage System, Barangay Baluan, General Santos City, South Cotabato",SOUTH COTABATO,MIGO CONSTRUCTION,"4,948,990.26",5/7/2024
"Construction of Subang Daku Flood Control (Zone 5 Section), Sogod, Southern Leyte",SOUTHERN LEYTE,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),"48,249,095.67",5/7/2024
"Construction of Flood Mitigation Structure along Kinalumsan River, Barangay Punta Princesa, Cebu City",CEBU,YES CONSTRUCTION,"9,720,072.79",5/7/2024
"Construction of Drainage System, Barangay Patag, Silay City, Negros Occidental",NEGROS OCCIDENTAL,SL & G CONSTRUCTION,"4,949,999.85",5/7/2024
"Construction of Drainage, Barangay 12, Bacarra, Ilocos Norte",ILOCOS NORTE,CAMBONG-BUILDERS INDUSTRIAL FACILITIES CONSTRUCTION,"4,899,380.88",5/7/2024
"Construction of Slope Protection Structure along Labasan River (West Bank) Package 2, Taguig City",TAGUIG CITY,B. VALENCERINA TRADING & CONSTRUCTION,"9,603,743.18",5/7/2024
"Improvement works along Marikina River, Second District, Marikina City",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","9,550,193.00",5/7/2024
"Construction of Bito River Flood Mitigation Structure along Brgy. Bayanihan Poblacion (District 4), San Fernando, Masbate",MASBATE,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"48,249,045.25",5/6/2024
"Construction of Sta Cruz Seawall, Barangay Tagum - Barangay Morales Section, Sta Cruz, Marinduque",MARINDUQUE,HGG BUILDERS & SUPPLY,"241,247,258.68",5/6/2024
"Construction of Disabungan to Catalangan River Flood Control Project, Barangay Disusuan, San Mariano, Isabela",ISABELA,CAMBERWELL CONSTRUCTION AND SUPPLIES,"48,965,415.32",5/6/2024
"Construction of Siffu River Flood Control Project, Barangay Suerte Phase III, Sta. 0+400 - Sta. 1+200, Quirino, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"96,483,409.58",5/6/2024
"Construction of Flood Control Structure along Cagayan River, Toran, Aparri, Cagayan",CAGAYAN,TJMT CONSTRUCTION,"86,600,000.00",5/6/2024
"Construction of Flood Control Structure, Barangay Batea, Municipality of EB Magalona, Negros Occidental",NEGROS OCCIDENTAL,SL & G CONSTRUCTION,"4,949,999.69",5/5/2024
"Construction of Flood Control Structure, Barangay Tay-ac, Bantay, Ilocos Sur",ILOCOS SUR,SJ MILLENNIUM CONSTRUCTION AND CONSTRUCTION SUPPLY CORPORATION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"39,200,000.00",5/5/2024
"Construction of Pumping Station at Barangay 182, Tondo, Manila",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / JIIK CONSTRUCTION SERVICES,"96,419,364.54",5/5/2024
"Construction of Riverbank Protection (Revetment) along Tamontaka River, (Semba- Linek River Section- Phase II), Datu Odin Sinsuat, Maguindanao",MAGUINDANAO DEL NORTE,FFJJ CONSTRUCTION,"109,380,392.33",5/4/2024
"Rehabilitation of Flood Control Structure, Barangay Catmon, Naval, Biliran",BILIRAN,RMA BUILDERS & SUPPLIES CORPORATION,"6,775,427.70",5/4/2024
"Construction of Debris Flow Barrier along Mindoro West Coastal Road (S00095MR), Sitio Turawan, Brgy. San Francisco, Sablayan, Occidental Mindoro",OCCIDENTAL MINDORO,JELSIE CONSTRUCTION & SUPPLY,"98,999,995.37",5/4/2024
"Construction of Flood Control Structure along Tago River Basin, Barangay Gamut, Tago, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),"96,499,979.92",5/3/2024
"Construction of Slope Protection in San Enrique, Iloilo",ILOILO,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),"94,086,501.57",5/3/2024
"Construction of Flood Control Structure along Sibalom River, Barangay Sido-Barangay Cadolonan, Sibalom, Antique",ANTIQUE,"F. GURREA CONSTRUCTION, INCORPORATED","91,675,000.00",5/3/2024
"Construction of Riverbank Protection, Barangay Takipan, Mangatarem, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / BERSON'S CONSTRUCTION & TRADING,"96,446,398.75",5/3/2024
"Construction of Flood Mitigation Facilities along Balingcaguing River (Aloleng Section), Sta. 002+059 - Sta. 002+303, Barangay Aloleng, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION,"49,000,000.00",5/3/2024
"Construction of Seawall, Sto. Domingo, Ilocos Sur",ILOCOS SUR,FIT CONSTRUCTION,"4,920,631.39",5/3/2024
"Construction of Flood Control Structure, Brgy. Maribulan, Alabel, Sarangani",SARANGANI,"BETTER WORK CONSTRUCTION / 3 K'S INDUSTRIAL MAINTENANCE AND SERVICES, INC.","49,499,127.67",5/2/2024
"Construction of Revetment at Ilian Bridge, along Bauyan Riverstream, Barangay Ilian, Sultan Naga Dimaporo, Lanao del Norte Sta.0+000 - Sta.0+200",LANAO DEL NORTE,NDP CONSTRUCTION DEVELOPMENT / AL HUSSEIN CONSTRUCTION,"48,973,571.68",5/2/2024
"Construction of Flood Mitigation Structure along Kapalong-Talaingod-Valencia Road (Malambago Stream - Tributary to Pulangui River), Barangay Malambago, Package 2, San Fernando, Bukidnon",BUKIDNON,"M. MONTESCLAROS ENTERPRISES, INC.","56,560,489.27",5/1/2024
"Construction of Libmanan Cabusao PIS Intake Slope Protection, Sipocot, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"9,680,309.00",5/1/2024
"Construction of Flood Control Structure along Busig-on River (Downstream) Phase II, Brgy. Sta. Cruz, Labo, Camarines Norte",CAMARINES NORTE,EUS CONSTRUCTION,"57,279,912.51",5/1/2024
"Construction of Retention Basin at Estero dela Reina, (Phase XIV), Tondo, Manila City",CITY OF MANILA,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC. / MANGEN TECHNO-BUILDERS INC.,"94,942,061.84",5/1/2024
"Construction of Slope Protection along Mahaba Bridge Approaches, Cabadbaran City, Agusan de Norte",AGUSAN DEL NORTE,ARQ BUILDERS,"48,999,995.59",04/30/2024
"Construction of River Control, Package A, Alabel, Sarangani",SARANGANI,MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS,"96,499,426.29",04/30/2024
"Construction of Drainage Channel from BCIR to Iponan River, Package 6, Bulua, Cagayan de Oro City",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"96,179,476.23",04/30/2024
"Construction of River Control along Alangilan Box Culvert, Camiguin Circumferential Rd, Sagay, Camiguin",CAMIGUIN,SHEEN-SHEEN CONSTRUCTION CORPORATION (FORMERLY: SHEEN-SHEEN CONSTRUCTION),"46,937,543.46",04/30/2024
"Rehabilitation of Seawall, Barangay Poblacion, New Washington, Aklan",AKLAN,"GREENLAND BUILDERS / MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.","72,374,990.05",04/30/2024
"Rehabilitation/ Improvement of Flood Protection Measures along Gulang-Gulang River, Irosin, Sorsogon",SORSOGON,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"112,322,188.64",04/30/2024
"Construction of Flood Control Structure in Angeles City, Pampanga (Phase 2)",PAMPANGA,B-12 CONSTRUCTION AND TRADING CORPORATION,"48,247,379.40",04/30/2024
"Construction of Flood Mitigation Structure along Pampanga River, Palayan City, Nueva Ecija",NUEVA ECIJA,SOLFIO P. JACINTO CONSTRUCTION INC.,"68,997,401.62",04/30/2024
"Construction of Flood Mitigation Structure along Sinucalan River, Barangay San Jose, Urdaneta City, Pangasinan (Package 1)",PANGASINAN,R.G.TABIN CONSTRUCTION AND SUPPLY / AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),"48,918,015.87",04/30/2024
"Construction of Bato Creek Slope Protection, City of San Fernando, La Union",LA UNION,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"98,996,959.56",04/30/2024
"Construction of Drainage System, Zone 91, Pandacan, Manila",CITY OF MANILA,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,"24,492,317.29",04/30/2024
"Construction of Drainage, Calawag Creek, Poblacion, Pikit, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"4,900,000.00",04/29/2024
"Construction of Flood Control along Binahaan River, Barangay Malaguicay, Tanauan, Leyte",LEYTE,EZJONES CONSTRUCTION INC. / MWJ CONSTRUCTION,"106,099,988.75",04/29/2024
"Construction of Flood Control Structure, Barangay Inasuyan, Kawayan, Biliran",BILIRAN,"ROVING PREMIER CONTRACTORS, INC.","14,546,001.04",04/29/2024
"Repair/Restoration of Damaged Concrete Revetment at Cagayan River Revetment 2, Gattaran, Cagayan",CAGAYAN,TJMT CONSTRUCTION,"39,190,000.00",04/29/2024
"Construction of Flood Control Structure along Tagamusing and Allied River, Binalonan, Pangasinan (Package 1)",PANGASINAN,W.J.P. CONSTRUCTION AND SUPPLY,"48,866,052.40",04/29/2024
"Construction of Flood Control Structure along Tagamusing and Allied River, Binalonan, Pangasinan (Package 2)",PANGASINAN,W.J.P. CONSTRUCTION AND SUPPLY,"48,813,804.25",04/29/2024
"Construction of Flood Control Structure along Tagamusing and Allied River, Binalonan, Pangasinan (Package 3)",PANGASINAN,W.J.P. CONSTRUCTION AND SUPPLY,"48,831,908.98",04/29/2024
"Construction of Flood Control Structure along Tagamusing and Allied River, Binalonan, Pangasinan (Package 4)",PANGASINAN,W.J.P. CONSTRUCTION AND SUPPLY,"48,819,534.05",04/29/2024
"Construction of Flood Control along Balingcaguing River, Barangay Anapao, Burgos, Pangasinan",PANGASINAN,CDC CONSTRUCTION & SUPPLIES,"72,686,685.00",04/29/2024
"Construction of Flood Mitigation Structure along Barangay Napaset, Luna, La Union",LA UNION,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"82,971,637.15",04/29/2024
"Construction of Riverbank Protection at Magsaysay Bridge, 1st Approach, Butuan City, Agusan Del Norte",AGUSAN DEL NORTE,EQUI-PARCO CONSTRUCTION COMPANY / TRIPARCO DEVELOPMENT CORPORATION,"144,749,968.11",04/28/2024
"Construction of Malasila River Flood Control, Sta. 39 + 600 - Sta. 40 + 770, Sta. 40 + 170 - Sta. 40 + 770, Barangay Bulacanon, Makilala, North Cotabato, Package 1",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"72,374,996.63",04/28/2024
"Construction of Flood Mitigation Structure along Pulangi River, Package 1, San Isidro, Valencia City, Bukidnon",BUKIDNON,"M. MONTESCLAROS ENTERPRISES, INC.","183,887,563.22",04/28/2024
"Construction of Flood Control Structure along Seit-Tayungan-Camp Andres Road, Panamao, Sulu",SULU,ST. TIMOTHY CONSTRUCTION CORPORATION / ZHEREB CONSTRUCTION,"67,212,246.70",04/28/2024
"Construction of Antalon CIS Slope Protection, San Joaquin, Iloilo",ILOILO,DEACONS TEMPLE CONSTRUCTION & SUPPLY,"5,844,865.02",04/27/2024
"Construction of Flood Control Structure along Malalim na Sapa, Barangay Batingan and Barangay Tatala, Binangonan, Rizal",RIZAL,HONY TRADING & CONSTRUCTION,"15,679,986.09",04/26/2024
"Construction of Morong River Flood Control (Package 12), Sariaya, Quezon",QUEZON,WAYCON BUILDERS AND CONSTRUCTION SUPPLY CORP. (FOR:WAYCON BUILDERS & CONSTRUCTION SUPPLY),"96,500,000.00",04/26/2024
"Construction of Drainage System at Barangay San Carlos, Lipa City, Batangas",BATANGAS,TERAVERA CORPORATION,"9,602,811.85",04/26/2024
"Construction of Flood Control Structure, Barangay Bahay Pare, Meycauayan City, Bulacan",BULACAN,TM ABAD CONSTRUCTION CORP. (FOR: TM ABAD CONST.),"4,949,040.88",04/26/2024
"Construction of Riverbank Protection Structure along Angat River, Barangay Banga II, Plaridel, Bulacan",BULACAN,BELL CONSTRUCTION,"72,374,848.46",04/26/2024
"Installation of Booster Pump and Ground Sill, Phase 2, Sapang Buwaya Creek - Tributary Junction Near Jestra Villas, Parañaque City",PARAÑAQUE CITY,JMK BUILDERS CONSTRUCTION,"19,110,512.21",04/26/2024
"Construction of Seawall, Barangay Villa Cornejo, Kawayan, Biliran",BILIRAN,M.B. ANG CONSTRUCTION & SUPPLY,"4,845,187.50",04/25/2024
"Construction of Jarao River Flood Mitigation Structure including Access Road, Guimbal, Iloilo",ILOILO,TOPMOST DEVELOPMENT & MKTG. CORP.,"62,081,979.88",04/25/2024
"Construction of River Control Structure, Dancalan, Bulusan, Sorsogon",SORSOGON,GDBS BUILDERS AND ENTERPRISE,"4,851,786.65",04/25/2024
"Construction of Mogpog Shore Protection/Boulevard, Sitio Ulong, Mogpog, Marinduque",MARINDUQUE,"MAG KONSTRUCTION & SUPPLY INC. / MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.","192,995,358.25",04/25/2024
"Construction of Flood Control Structure of Creek/Canal Corville Subdivision Phase 2, Barangay San Luis Antipolo City, Rizal",RIZAL,TOP KMC CONSTRUCTION AND SUPPLY CORP.,"9,899,999.99",04/25/2024
"Construction of Slope Protection works at Malisik River Phase II barangay Barangca, Candaba, Pampanga",PAMPANGA,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),"68,394,358.97",04/25/2024
"Rehabilitation of Shore Protection Structure, Barangay Poblacion 1, Burgos, Surigao del Norte",SURIGAO DEL NORTE,LCTING CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: L.C. TING CONSTRUCTION),"47,951,985.95",04/24/2024
"Repair/ Rehabilitation/ Reconstruction of Damaged Matutinao River Flood Control System (Upstream Section 1), Badian, Cebu, Sta. 0+000.00 to Sta. 0+182.00",CEBU,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"71,744,573.20",04/24/2024
"Repair/ Rehabilitation/ Reconstruction of Ginatilan River Flood Control System, Ginatilan, Cebu, Sta. 0+000.00 to Sta. 0+130.00",CEBU,QM BUILDERS,"93,358,722.00",04/24/2024
"Rehabilitation of Revetment Wall along Jal-o River, Balete, Aklan",AKLAN,G.F. ROVERO MERCHANDISING,"49,062,232.76",04/24/2024
"Construction of Revetment Wall along Jal-o River, Sitio Mapait, Barangay Aranas, Balete, Aklan",AKLAN,G.F. ROVERO MERCHANDISING,"39,199,794.21",04/24/2024
"Construction of Revetment Wall along Jal-o River, Sitio Suwaragan, Barangay Calizo, Balete, Aklan",AKLAN,G.F. ROVERO MERCHANDISING,"39,199,936.73",04/24/2024
"Construction of Santol Flood Control, Boac, Marinduque",MARINDUQUE,JEDIDIAH CONSTRUCTION,"18,214,714.08",04/24/2024
"Construction of Flood Control Structure along Aloragat River, Barangay Rosario, Pozorrubio, Pangasinan",PANGASINAN,RANIA CONSTRUCTION AND SUPPLIES / J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),"48,926,269.37",04/24/2024
"Construction of Drainage System along Sumulong Highway including laterals, Marikina City (Phase I)",MARIKINA CITY,ANORE CONSTRUCTION,"183,330,844.95",04/24/2024
"Construction of Poblacion East Shoreline Protection with Access Road, Oton, Iloilo",ILOILO,ASIA STRUCTURAL DEVELOPER CORPORATION,"19,599,092.07",04/23/2024
"Construction of Flood Control Lower Sto. Niño, Mahayag, Zamboanga del Sur",ZAMBOANGA DEL SUR,MJMARI BUILDERS AND DEVELOPMENT CORPORATION (FORMERLY: MJMARI BUILDERS AND ENTERPRISES),"53,850,000.00",04/23/2024
"Construction of Causeway with RORO Ramp and Trestle (Phase II), Sta. 0+000 - Sta. 0+251, Paluan, Occidental Mindoro",OCCIDENTAL MINDORO,F.A. TORRES CONSTRUCTION / C.T. LEONCIO CONSTRUCTION & TRADING,"96,492,142.55",04/23/2024
"Rehabilitation of Peñaranda River Flood Control Structure, Barangay Sinasajan (Right Bank), Peñaranda, Nueva Ecija",NUEVA ECIJA,F-DEY CONSTRUCTION AND TRADING,"20,168,228.34",04/23/2024
"Construction of Flood Mitigation Structure along Balingcaguing River (Caranglaan Section), Sta. 017+829 - Sta. 018+229, Barangay Caranglaan, Mabini, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,"96,500,000.00",04/23/2024
"Construction of Flood Control Structure along Libungan River, Mirasol, Alamada, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"4,920,000.00",04/22/2024
"Construction of Revetment along Marangig River leading to Agusan River, New Albay, Maragusan, Davao de Oro",DAVAO DE ORO,"AB APONESTO CONSTRUCTION PARTS AND SUPPLY, INC.","48,997,610.20",04/22/2024
"Construction of Flood Control Structure along Pulid River, Calbayog City",SAMAR (WESTERN SAMAR),JFR CONSTRUCTION INC. (FORMERLY:JFR CONSTRUCTION),"93,928,535.96",04/22/2024
"Construction of Flood Control Structure, Dispo Road, Barangay Calumpang, Naval, Biliran",BILIRAN,ANG YAP BUILDERS AND AGGREGATE SUPPLIES INC.,"5,807,387.30",04/22/2024
"Rehabilitation/Reconstruction of Madua River Control, Duero, Bohol, Sta Sta. 0+000 - Sta. 0+500",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION / WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"96,280,926.01",04/22/2024
"Construction of Riverbank Protection Structures - Ransang River (Both sides) with Steel Piles, Rizal, Palawan",PALAWAN,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP. / RDF TRADING AND CONSTRUCTION,"192,997,879.72",04/22/2024
"Construction of Seawall, Sitio Villa Antonio, Navotas, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,JARO BUILDERS & CONSTRUCTION SUPPLY,"19,599,848.40",04/22/2024
"Construction of River Control Structure Along Catuiran River, Sitio Duluhan Section, Brgy. Arangin, Naujan, Oriental Mindoro",ORIENTAL MINDORO,SILVERWOLVES CONSTRUCTION CORPORATION,"96,499,978.46",04/22/2024
"Construction of Flood Mitigation Structure, Barangay 5, Mamburao, Occidental Mindoro",OCCIDENTAL MINDORO,STX ENTERPRISES,"4,948,368.84",04/22/2024
"Construction of Slope Protection at Brgy. Dela Paz, Biñan City, Laguna",LAGUNA,M.T. MALIUANAG CONSTRUCTION SERVICES,"96,499,005.06",04/22/2024
"Construction of Slope Protection with Steel Sheet Pile Foundation along Camiling River (Right Bank), Baybayaoas-Telbang Section (Package R), Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"144,749,856.69",04/22/2024
"Construction of Riverbank Protection Structure at Barangay Abulalas, Hagonoy, Bulacan",BULACAN,DARCY & ANNA BUILDERS & TRADING,"77,199,988.25",04/22/2024
"Construction of Seawall, Poblacion Zone I, Dinalungan, Aurora",AURORA,"THREE W BUILDERS, INC.","49,500,000.00",04/22/2024
"Construction of Pinacanauan River Flood Control Project, Barangay Zone 1, San Mariano, Isabela",ISABELA,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),"96,301,840.45",04/22/2024
"Rehabilitation of Flood Control Structure, Baraccaoit, Gattaran, Cagayan Package III - Sta. 0+777 - Sta. 1+253",CAGAYAN,TJMT CONSTRUCTION,"72,353,000.00",04/22/2024
"Construction of Lined Canal, Barangay 53 Rioeng, Laoag City, Ilocos Norte",ILOCOS NORTE,KRB CONSTRUCTION,"4,899,838.80",04/22/2024
"Rehabilitation of Libis Creek, Quezon City",QUEZON CITY,IM CONSTRUCTION CORPORATION,"9,790,929.75",04/22/2024
